阿公店,A kong tiàm
阿公店溪,A kong tiàm khe
阿猴,A kâu
阿蓮區,A lian khu
阿嗹社,A lian siā
阿里關,A lí kuan
阿里港,A lí káng
阿里壟,A lí lóng
阿里山,A lí san
阿里山鄉,A lí san hiong
阿里山線,A lí san suànn
亞東醫院,A tang Pēnn īnn
亞東醫院,A tang Pīnn īnn
亞太,A thài
亞洲,A tsiu
阿罩霧,A tà bū
亞運,A ūn
庵古坑,Am kóo khenn
安,An
安樂區,An lo̍k khu
安南區,An lâm khu
安平區,An pîng khu
安平鎮,An pîng tìn
安通,An thong
安定區,An tīng khu
翁,Ang
歐,Au
歐盟,Au bîng
歐陽,Au iông
歐式,Au sik
肉粽節,Bah tsàng tseh
肉粽節,Bah tsàng tsueh
目加溜,Ba̍k ka liu
木屐寮,Ba̍k kia̍h liâu
木柵,Ba̍k sa
木柵動物園,Ba̍k sa Tōng bu̍t hn̂g
麥,Be̍h
麥寮鄉,Be̍h liâu hiong
美濃溪,Bi long khe
美濃區,Bi long khu
苗,Biâu
苗栗,Biâu li̍k
苗栗縣,Biâu li̍k kuān
苗栗市,Biâu li̍k tshī
莫,Bo̍h
穆,Bo̍k
木瓜溪,Bo̍k kue khe
木瓜山,Bo̍k kue suann
木瓜村,Bo̍k kue tshuan
木星,Bo̍k tshenn
木星,Bo̍k tshinn
滿州鄉,Buán tsiu hiong
艋舺,Báng kah
蚊蟀,Báng sut
貓公,Bâ kang
貓里,Bâ lí
麻里折口,Bâ lí tsik kháu
眉溪,Bâi khe
蠻蠻,Bân bân
貓羅溪,Bâu lô khe
米,Bí
美方,Bí hong
美金,Bí kim
美國仙丹,Bí kok sian tan
美國時間,Bí kok sî kan
美國塗豆,Bí kok thôo tāu
美規,Bí kui
美軍,Bí kun
美麗島,Bí lē tó
美式,Bí sik
美商,Bí siong
美術館,Bí su̍t kuán
美洲,Bí tsiu
美籍,Bí tsi̍k
閔,Bín
彌濃,Bî long
彌陀港,Bî lô káng
民雄,Bîn hiông
民雄鄉,Bîn hiông hiong
民國,Bîn kok
民權西路,Bîn kuân se lōo
民壯圍,Bîn tsòng uî
名間鄉,Bîng kan hiong
明德,Bîng tik
牡丹,Bóo tan
牡丹鄉,Bóo tan hiong
牡丹坑,Bóo tan khenn
牡丹社,Bóo tan siā
牟,Bôo
武,Bú
武溜灣,Bú liu uan
武洛溪,Bú lok khe
武聖廟,Bú sìng biō
武士林,Bú sū nâ
武塔,Bú thah
巫,Bû
文,Bûn
聞,Bûn
文武廟,Bûn bú biō
文化中心,Bûn huà Tiong sim
文建會,Bûn kiàn huē
文山,Bûn san
文山區,Bûn san khu
文德,Bûn tik
萬,Bān
萬巒鄉,Bān bân hiong
